"Setting","Status","TotalRefs","NonUiRefs","TopNonUiFiles"
"notifyHighRisk","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\alert_rules_engine.dart (1)"
"notifyIotWarning","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"notifyNewDevice","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"notifyRouterVuln","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"notifyScanCompleted","WIRED","11","2",".\lib\core\services\toggle_wiring_registry.dart (1); .\lib\core\services\alert_rules_engine.dart (1)"
"notifyUnknownDevice","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"packetSnifferLite","WIRED","13","4",".\lib\core\services\report_builder.dart (2); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"performanceMode","UI_ONLY","14","0",""
"quickScan","WIRED","11","2",".\lib\features\scan\scan_screen.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"rogueApDetection","WIRED","13","4",".\lib\core\services\report_builder.dart (2); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"routerDnsHijack","WIRED","11","2",".\lib\features\router\router_iot_security.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"routerOpenPorts","WIRED","11","2",".\lib\features\router\router_iot_security.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"routerOutdatedFirmware","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"routerUpnpCheck","WIRED","11","2",".\lib\features\router\router_iot_security.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"routerWeakPassword","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"routerWpsCheck","WIRED","11","2",".\lib\features\router\router_iot_security.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"scanFrequency","WIRED","11","1",".\lib\features\navigation\main_navigation.dart (1)"
"stealthScan","WIRED","14","5",".\lib\core\services\scan_service.dart (3); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
"twoFactorEnabled","WIRED","10","1",".\lib\core\services\toggle_wiring_registry.dart (1)"
"wifiDeauthDetection","WIRED","13","4",".\lib\core\services\report_builder.dart (2); .\lib\features\scan\scan_screen.dart (1); .\lib\core\services\toggle_wiring_registry.dart (1)"
